,title,m_title,score,u_genre_id,m_id,,m_author,,author
900,A wizard in Bedlam,Man and wife,47,,CollWMW,,"Collins, Wilkie",,"Stasheff, Christopher,"
901,Lithium for Medea,Victim of prejudice,56,,HaysMVP,,"Hays, Mary",,"Braverman, Kate,"
902,The Americans,The Heroine,67,,BarrEH,,"Barrett, Eaton Stannard",,"Jakes, John,"
903,The last President,The absentee,60,,EdgeMA,,"Edgeworth, Maria",,"Kurland, Michael,"
904,Petals on the wind,Melmoth the wanderer,58,,MatuCMW,,"Maturin, Charles Robert",,"Andrews, V. C.  (Virginia"
905,Aries rising,Daisy chain,52,,YongCDC,,"Yonge, Charlotte Mary",,"Herzog, Arthur,"
906,Red dragon,Rebecca and Rowena,50,,ThacWRR,,"Thackeray, William Makepeace",,"Harris, Thomas"
907,Slade's glacier,Sylvia's lovers,60,,GaskESL,,"Gaskell, Elizabeth Cleghorn",,"Jones, Robert F."
908,Dead Letter,Villette,53,,BronCV,,"Bronte, Charlotte",,"Valin, Jonathan,"
909,Oath of fealty,A tale of a lonely parish,56,,CrawFTL,,"Crawford, Francis Marion",,"Niven, Larry,"
910,Dream Park,Framley Parsonage,52,,TrolAFP,,"Trollope, Anthony",,"Niven, Larry,"
911,The Klingon gambit,The Virginian,52,,,,"Wister, Owen",,"Vardeman, Robert E,"
912,The hunger,The Heroine,67,,BarrEH,,"Barrett, Eaton Stannard",,"Strieber, Whitley"
913,The many-colored land,The Coral Island,65,,BallRCI,,"Ballantyne, R. M.",,"May, Julian,"
914,The entropy effect,The absentee,60,,EdgeMA,,"Edgeworth, Maria",,"McIntyre, Vonda N,"
915,Battlefield earth,Mansfield Park,58,,AustJMP,,"Austen, Jane",,"Hubbard, L. Ron,"
916,Trap line,Catherine,56,,ThacWC,,"Thackeray, William Makepeace",,"Montalbano, William D,"
917,No enemy but time,No name,50,,CollWNN,,"Collins, Wilkie",,"Bishop, Michael,"
918,My sweet Audrina,Rebecca and Rowena,47,,ThacWRR,,"Thackeray, William Makepeace",,"Andrews, V. C.  (Virginia"
919,Stalking horse,Bleak House,56,,DickCBH,,"Dickens, Charles",,"Wilcox, Collin,"
920,Channel's destiny,Daniel Deronda,52,,ElioGDD,,"Eliot, George",,"Lorrah, Jean,"
921,So many partings,Mary Barton,59,,GaskEMB,,"Gaskell, Elizabeth Cleghorn",,"Spellman, Cathy Cash,"
922,Follow the wind,Melmoth the wanderer,57,,MatuCMW,,"Maturin, Charles Robert",,"Coldsmith, Don,"
923,Something the cat dragged,Melmoth the wanderer,58,,MatuCMW,,"Maturin, Charles Robert",,"MacLeod, Charlotte,"
924,For love of mother-not,A legend of Montrose,57,,ScotWLM,,"Scott, Walter, Sir",,"Foster, Alan Dean,"
925,Sybille,Sybil,83,,DisrBS,,"Disraeli, Benjamin",,"Meade, Marion,"
926,The nonborn king,The Bostonians,60,,JameHB,,"James, Henry",,"May, Julian,"
927,Chanur's venture,The absentee,50,,EdgeMA,,"Edgeworth, Maria",,"Cherryh, C. J,"
928,The Convivial Codfish,The Coral Island,59,,BallRCI,,"Ballantyne, R. M.",,"MacLeod, Charlotte,"
929,Games to keep the dark aw,Annals of the parish,52,,GaltJAP,,"Galt, John",,"Muller, Marcia,"
930,Neuromancer,News from nowhere,57,,MorrWNF,,"Morris, William",,"Gibson, William"
931,Artifact,Marriage,50,,FerrSM,,"Ferrier, Susan",,"Benford, Gregory,"
932,The nick of time,At the back of the north wind,71,,MacDGAB,,"MacDonald, George",,"Effinger, George Alec,"
933,A shroud for Aquarius,Can you forgive her?,49,,TrolACY,,"Trollope, Anthony",,"Collins, Max Allan,"
934,Puttering about in a smal,The bravo : a tale (Vol. 1/2),51,,CoopJBT,,"Cooper, James Fenimore",,"Dick, Philip K,"
935,The plain old man,The sign of four,55,,DoylASF,,"Doyle, Arthur Conan",,"MacLeod, Charlotte,"
936,The forever man,The Coral Island,58,,BallRCI,,"Ballantyne, R. M.",,"Dickson, Gordon R,"
937,Greenwich killing time,Life's handicap; being stories of mine own people,44,,KiplRLH,,"Kipling, Rudyard",,"Friedman, Kinky,"
938,The last annual slugfest,The way of all flesh,55,,ButlSWA,,"Butler, Samuel",,"Dunlap, Susan,"
939,Into the out of,In the roar of the sea,67,,BariSIR,,"Baring-Gould, Sabine",,"Foster, Alan Dean,"
940,Daggerspell,Woodlanders,45,,HardTW,,"Hardy, Thomas",,"Kerr, Katharine,"
941,Boats against the current,The house with the green shutters,53,,BrowGHW,,"Brown, George Douglas",,"Logue, John,"
942,The Assyrian,The Virginian,64,,,,"Wister, Owen",,"Guild, Nicholas,"
943,Murdock for hire,Doctor Thorne,62,,TrolADT,,"Trollope, Anthony",,"Ray, Robert J. 1935-  (Ro"
944,The gamble,The absentee,64,,EdgeMA,,"Edgeworth, Maria",,"Spencer, LaVyrle,"
945,Double whammy,Adeline Mowbray,50,,OpieAAM,,"Opie, Amelia Alderson",,"Hiaasen, Carl,"
946,Pale kings and princes,Pride and prejudice,59,,AustJPP,,"Austen, Jane",,"Parker, Robert B."
947,The cat who played Brahms,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,56,,GoldOVW,,"Goldsmith, Oliver, 1728-1774",,"Braun, Lilian Jackson,"
948,Strangers from the sky,Strange case of Dr Jekyll and Mr Hyde,64,,StevRSC,,"Stevenson, Robert Louis",,"Bonanno, Margaret Wander,"
949,Voice of the whirlwind,Vicar of Wrexhill,56,,TrolFVW,,"Trollope, Frances Milton",,"Williams, Walter Jon,"
950,A case of Lone Star,A tale of a lonely parish,65,,CrawFTL,,"Crawford, Francis Marion",,"Friedman, Kinky,"
951,Wanderer Springs,Woodlanders,52,,HardTW,,"Hardy, Thomas",,"Flynn, Robert,"
952,Misery,Mary,60,,WollMM,,"Wollstonecraft, Mary",,"King, Stephen,"
953,Wideacre,Warden,57,,TrolAW,,"Trollope, Anthony",,"Gregory, Philippa,"
954,Spree,She,50,,HaggHS,,"Haggard, H. Rider",,"Collins, Max Allan,"
955,Being a green mother,In the roar of the sea,53,,BariSIR,,"Baring-Gould, Sabine",,"Anthony, Piers,"
956,Beloved,Well-beloved,74,,HardTW2,,"Hardy, Thomas",,"Morrison, Toni"
957,The lady,Nether world,60,,GissGNW,,"Gissing, George",,"McCaffrey, Anne,"
958,A place with promise,Annals of the parish,50,,GaltJAP,,"Galt, John",,"Swift, Edward,"
959,Wheel of the winds,Annals of the parish,58,,GaltJAP,,"Galt, John",,"Engh, M. J,"
960,Those who hunt the night,The house with the green shutters,58,,BrowGHW,,"Brown, George Douglas",,"Hambly, Barbara"
961,Heaven cent,The entail,57,,GaltJE,,"Galt, John",,"Anthony, Piers,"
962,Mischief in Maggody,Picture of Dorian Gray,49,,WildOPD,,"Wilde, Oscar",,"Hess, Joan,"
963,Not for glory,Doctor Thorne,54,,TrolADT,,"Trollope, Anthony",,"Rosenberg, Joel,"
964,Drop-off,Romola,43,,ElioGR,,"Eliot, George",,"Grissom, Ken,"
965,Stalking the angel,Salem Chapel,53,,OlipMSC,,"Oliphant, Mrs. (Margaret)",,"Crais, Robert,"
966,The last coincidence,The Bostonians,59,,JameHB,,"James, Henry",,"Goldsborough, Robert,"
967,Talking God,Adeline Mowbray,46,,OpieAAM,,"Opie, Amelia Alderson",,"Hillerman, Tony,"
968,Moon dance,Lorna Doone,57,,BlacRLD,,"Blackmore, R. D.",,"Somtow, S. P,"
969,Power hungry,Northanger Abbey,50,,AustJNA,,"Austen, Jane",,"Weinstein, Howard,"
970,Mutation,Persuasion,56,,AustJP,,"Austen, Jane",,"Cook, Robin,"
971,The stress of her regard,The prophet of the Great Smoky Mountains,67,,MurfMPG,,"Murfree, Mary Noailles",,"Powers, Tim,"
972,Burning water,Quentin Durward,57,,ScotWQD,,"Scott, Walter, Sir",,"Lackey, Mercedes,"
973,Pious deception,Persuasion,48,,AustJP,,"Austen, Jane",,"Dunlap, Susan,"
974,TekWar,Esther Waters,53,,MoorGEW,,"Moore, George",,"Shatner, William,"
975,Some can whistle,The woman in white,59,,CollWWI,,"Collins, Wilkie",,"McMurtry, Larry,"
976,Farewell horizontal,Felix Holt,48,,ElioGFH,,"Eliot, George",,"Jeter, K. W,"
